,LL,PS,HL,SSS,PR,SR,Yield
411,315789474.2,1,1000000.947,1,1924279432,1328999863,268585.8008
412,347368421.5,1,1000000.947,1,2090004310,1438531870,291037.5701
413,378947368.8,1,1000000.947,1,2254275651,1547028686,313314.7017
414,410526316.1,1,1000000.947,1,2417134948,1654519829,335422.3519
415,442105263.4,1,1000000.947,1,2578622034,1761033637,357365.4699
416,473684210.7,1,1000000.947,1,2738775160,1866597320,379148.8069
417,505263158.1,1,1000000.947,1,2897631070,1971237018,400776.9262
418,536842105.4,1,1000000.947,1,3055225069,2074977846,422254.2111
419,568421052.7,1,1000000.947,1,3211591089,2177843942,443584.8735
420,6.00E+08,1,1000000.947,1,3366761753,2279858513,464772.9617
421,1,2369.368421,1000000.947,1,348969691.8,295030829.4,166339.0957
422,31578948.32,2369.368421,1000000.947,1,530137536.6,415538240.3,190596.2786
423,63157895.63,2369.368421,1000000.947,1,709359875.8,534660888,214618.7814
424,94736842.95,2369.368421,1000000.947,1,886698815.9,652442946.1,238414.3004
425,126315790.3,2369.368421,1000000.947,1,1062213790,768926686.4,261990.1997
426,157894737.6,2369.368421,1000000.947,1,1235961694,884152574.9,285353.5273
427,189473684.9,2369.368421,1000000.947,1,1407997011,998159362.9,308511.0314
428,221052632.2,2369.368421,1000000.947,1,1578371936,1110984172,331469.175
429,252631579.5,2369.368421,1000000.947,1,1747136486,1222662574,354234.1505
430,284210526.8,2369.368421,1000000.947,1,1914338605,1333228669,376811.8923
431,315789474.2,2369.368421,1000000.947,1,2080024269,1442715154,399208.0901
432,347368421.5,2369.368421,1000000.947,1,2244237579,1551153393,421428.2
433,378947368.8,2369.368421,1000000.947,1,2407020849,1658573480,443477.4561
434,410526316.1,2369.368421,1000000.947,1,2568414693,1765004299,465360.8809
435,442105263.4,2369.368421,1000000.947,1,2728458105,1870473580,487083.2955
436,473684210.7,2369.368421,1000000.947,1,2887188535,1975007955,508649.3287
437,505263158.1,2369.368421,1000000.947,1,3044641957,2078633010,530063.4262
438,536842105.4,2369.368421,1000000.947,1,3200852944,2181373329,551329.8588
439,568421052.7,2369.368421,1000000.947,1,3355854725,2283252544,572452.7307
440,6.00E+08,2369.368421,1000000.947,1,3509679252,2384293375,593435.9868
441,1,4737.736842,1000000.947,1,512175377.4,413549216.6,293895.3904
442,31578948.32,4737.736842,1000000.947,1,691561319.8,532767379.3,317878.8795
443,63157895.63,4737.736842,1000000.947,1,869035978.9,650625546.4,341633.066
444,94736842.95,4737.736842,1000000.947,1,1044660085,767166899.1,365165.4405
445,126315790.3,4737.736842,1000000.947,1,1218491760,882432763.7,388483.1704
446,157894737.6,4737.736842,1000000.947,1,1390586650,996462705.9,411593.1166
447,189473684.9,4737.736842,1000000.947,1,1560998050,1109294618,434501.8483
